Country,Number of Users,Longitude,Latitude
India,467000000,78.96288,20.593684
United States,246000000,37.09024,-95.712891
Brazil,142000000,-51.92528,-14.235004
Indonesia,139000000,113.921327,-0.78928
Mexico,81800000,-102.552784,23.634501
Japan,78400000,138.252924,36.204824
Pakistan,71700000,69.345116,30.375321
Germany,70900000,10.451526,51.165691
Vietnam,63000000,108.277199,14.058324
Turkey,57900000,35.243322,38.963745
Philippines,57700000,121.774017,12.879721
United Kingdom,57100000,-3.435973,55.378051
France,52100000,2.213749,46.227638
South Korea,46000000,127.766922,35.907757
Egypt,45900000,30.802498,26.820553
Italy,43900000,12.56738,41.87194
Thailand,43900000,100.992541,15.870032
Spain,40700000,-3.74922,40.463667
Bangladesh,34400000,90.356331,23.684994
Canada,33100000,-106.346771,56.130366
